,지역,휘발유,경유,전기,하이브리드,합계,연도,월별
0,서울,1590654,746540,9514,74700,2421408,2019,1
1,부산,649846,341773,1522,22453,1015594,2019,1
2,대구,554243,289281,6885,20675,871084,2019,1
3,인천,717873,459231,1298,29858,1208260,2019,1
4,광주,290543,165157,1446,10407,467553,2019,1
5,대전,321875,158724,1355,10167,492121,2019,1
6,울산,277016,146853,862,7941,432672,2019,1
7,세종,73797,40225,398,3967,118387,2019,1
8,경기,2660256,1462469,6429,110319,4239473,2019,1
9,강원,321992,189638,1386,10799,523815,2019,1
10,충북,350456,197540,1196,10810,560002,2019,1
11,충남,467523,264735,1140,14141,747539,2019,1
12,전북,366034,225552,1005,11412,604003,2019,1
13,전남,381498,252481,1989,11408,647376,2019,1
14,경북,605485,307718,2008,16653,931864,2019,1
15,경남,789261,399582,2112,21429,1212384,2019,1
16,제주,224743,146852,15181,8846,395622,2019,1
17,전국,10643095,5794351,55726,395985,16889157,2019,1
18,서울,1591333,746705,9589,75812,2423439,2019,2
19,부산,651190,344125,1535,22908,1019758,2019,2
20,대구,553505,289728,6927,20993,871153,2019,2
21,인천,720914,459604,1341,30503,1212362,2019,2
22,광주,290497,165491,1462,10560,468010,2019,2
23,대전,321544,158804,1353,10313,492014,2019,2
24,울산,277029,147248,864,8064,433205,2019,2
25,세종,74621,40741,410,4068,119840,2019,2
26,경기,2666049,1458407,6509,112292,4243257,2019,2
27,강원,322543,189976,1416,10934,524869,2019,2
28,충북,351047,198449,1206,10964,561666,2019,2
29,충남,468457,265764,1159,14348,749728,2019,2
30,전북,366274,226356,1017,11615,605262,2019,2
31,전남,382026,252726,1991,11571,648314,2019,2
32,경북,605848,308832,2034,16902,933616,2019,2
33,경남,788889,398929,2198,21638,1211654,2019,2
34,제주,225779,148068,15150,9000,397997,2019,2
35,전국,10657545,5799953,56161,402485,16916144,2019,2
36,서울,1592543,744168,9876,77216,2423803,2019,3
37,부산,651839,344757,1719,23327,1021642,2019,3
38,대구,553990,290669,7129,21369,873157,2019,3
39,인천,723826,458880,1499,31281,1215486,2019,3
40,광주,290960,166046,1587,10764,469357,2019,3
41,대전,321401,159335,1458,10517,492711,2019,3
42,울산,277232,147712,902,8256,434102,2019,3
43,세종,75389,41191,531,4194,121305,2019,3
44,경기,2675189,1453478,7219,114535,4250421,2019,3
45,강원,323486,189611,1555,11162,525814,2019,3
46,충북,352080,198322,1367,11200,562969,2019,3
47,충남,469551,266111,1557,14589,751808,2019,3
48,전북,367338,226221,1195,11852,606606,2019,3
49,전남,383042,253176,2506,11876,650600,2019,3
50,경북,606644,309554,2395,17239,935832,2019,3
51,경남,789763,398559,2589,21943,1212854,2019,3
52,제주,227080,149536,15476,9186,401278,2019,3
53,전국,10681353,5797326,60560,410506,16949745,2019,3
54,서울,1594756,739748,10113,78778,2423395,2019,4
55,부산,652637,344652,1838,23798,1022925,2019,4
56,대구,553998,288576,7464,21778,871816,2019,4
57,인천,728026,458032,1680,32275,1220013,2019,4
58,광주,291395,165935,1736,10986,470052,2019,4
59,대전,321476,159264,1611,10700,493051,2019,4
60,울산,277399,147943,927,8438,434707,2019,4
61,세종,76019,41305,638,4327,122289,2019,4
62,경기,2684019,1451514,7801,117146,4260480,2019,4
63,강원,324404,189705,1711,11371,527191,2019,4
64,충북,353710,200764,1685,11422,567581,2019,4
65,충남,470481,265962,2048,14855,753346,2019,4
66,전북,367766,226561,1418,12129,607874,2019,4
67,전남,384200,253631,2679,12188,652698,2019,4
68,경북,607565,309625,2754,17581,937525,2019,4
69,경남,791292,399202,2762,22335,1215591,2019,4
70,제주,229054,150285,15945,9415,404699,2019,4
71,전국,10708197,5792704,64810,419522,16985233,2019,4
72,서울,1595300,736941,10539,80460,2423240,2019,5
73,부산,653716,345300,2017,24288,1025321,2019,5
74,대구,554423,288637,7953,22133,873146,2019,5
75,인천,733688,457393,1831,33334,1226246,2019,5
76,광주,291946,165942,1870,11217,470975,2019,5
77,대전,321790,158813,1776,10899,493278,2019,5
78,울산,277835,147573,959,8604,434971,2019,5
79,세종,76469,41482,724,4429,123104,2019,5
80,경기,2693410,1454000,8469,119734,4275613,2019,5
